obs_ID,observer,year,nest,start_time_video,end_dt,type,partner_present,dt_behaviour,behaviour,who,sex,comments
119,cm,2012,s705,2012-Jun-13 23:45:49,2012-Jun-14 00:15:38,non,n,2012-Jun-13 23:52:44,c,o,f,
119,cm,2012,s705,2012-Jun-13 23:45:49,2012-Jun-14 00:15:38,non,n,2012-Jun-13 23:57:20,c,o,f,
120,cm,2012,s705,2012-Jun-14 15:04:54,2012-Jun-14 15:34:31,non,n,2012-Jun-14 15:04:59,c,o,f,
120,cm,2012,s705,2012-Jun-14 15:04:54,2012-Jun-14 15:34:31,non,n,2012-Jun-14 15:09:10,c,o,f,
120,cm,2012,s705,2012-Jun-14 15:04:54,2012-Jun-14 15:34:31,non,n,2012-Jun-14 15:11:00,c,o,f,
121,cm,2012,s705,2012-Jun-14 19:00:14,2012-Jun-14 19:29:34,non,n,2012-Jun-14 19:27:25,c,o,m,
122,cm,2012,s705,2012-Jun-15 07:08:30,2012-Jun-15 07:38:01,non,n,2012-Jun-15 07:35:45,c,o,f,
122,cm,2012,s705,2012-Jun-15 07:08:30,2012-Jun-15 07:38:01,non,n,2012-Jun-15 07:34:35,f,o,f,
122,cm,2012,s705,2012-Jun-15 07:08:30,2012-Jun-15 07:38:01,non,n,2012-Jun-15 07:35:49,c,o,f,
122,cm,2012,s705,2012-Jun-15 07:08:30,2012-Jun-15 07:38:01,non,n,2012-Jun-15 07:36:17,c,o,f,
123,cm,2012,s705,2012-Jun-16 06:54:00,2012-Jun-16 07:23:39,non,n,2012-Jun-16 07:21:45,c,o,m,
124,cm,2012,s706,2012-Jun-17 21:42:10,2012-Jun-17 22:11:39,ex,n,2012-Jun-17 21:42:12,c,o,f,
124,cm,2012,s706,2012-Jun-17 21:42:10,2012-Jun-17 22:11:39,ex,n,2012-Jun-17 22:00:49,c,o,f,
124,cm,2012,s706,2012-Jun-17 21:42:10,2012-Jun-17 22:11:39,ex,n,2012-Jun-17 22:00:18,c,o,f,
124,cm,2012,s706,2012-Jun-17 21:42:10,2012-Jun-17 22:11:39,ex,n,2012-Jun-17 22:10:14,c,o,f,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:33:10,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:34:01,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:34:25,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:36:14,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:37:21,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:47:34,c,o,m,
125,cm,2012,s706,2012-Jun-18 09:19:20,2012-Jun-18 09:48:50,ex,n,2012-Jun-18 09:48:38,c,o,m,
126,cm,2012,s706,2012-Jun-18 21:20:29,2012-Jun-18 21:50:10,ex,n,,n,o,f,
127,cm,2012,s706,2012-Jun-19 08:30:34,2012-Jun-19 08:59:55,ex,n,2012-Jun-19 08:51:11,c,o,m,
127,cm,2012,s706,2012-Jun-19 08:30:34,2012-Jun-19 08:59:55,ex,n,2012-Jun-19 08:59:43,c,o,m,
127,cm,2012,s706,2012-Jun-19 08:30:34,2012-Jun-19 08:59:55,ex,n,2012-Jun-19 08:59:52,c,o,m,
127,cm,2012,s706,2012-Jun-19 08:30:34,2012-Jun-19 08:59:55,ex,y,2012-Jun-19 09:00:00,c,c,f,
128,cm,2012,s706,2012-Jun-19 18:19:34,2012-Jun-19 18:49:10,ex,n,2012-Jun-19 18:33:21,c,o,f,
128,cm,2012,s706,2012-Jun-19 18:19:34,2012-Jun-19 18:49:10,ex,n,2012-Jun-19 18:42:09,c,o,f,
128,cm,2012,s706,2012-Jun-19 18:19:34,2012-Jun-19 18:49:10,ex,n,2012-Jun-19 18:44:20,c,o,f,
129,cm,2012,s706,2012-Jun-20 05:00:06,2012-Jun-20 05:29:35,ex,y,2012-Jun-20 05:29:33,c,o,m,
